pl_name,pl_letter,hostname,gaia_id,ra,dec,disc_year,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_msinie,pl_msinieerr1,pl_msinieerr2,st_teff,st_met,st_lum,st_logg,st_age,st_mass,st_rad,sy_vmag,sy_gaiamag,sy_plx,ttv_flag,tran_flag,rv_flag
OGLE-TR-10 b,b,OGLE-TR-10,Gaia DR2 4056443366649948160,267.8677483,-29.8764758,2004,Transit,3.101278,,,0.0434,0.0013,-0.0015,14.011,1.569,-1.345,197.046,44.494,-44.494,197.046,44.494,-44.494,Mass,,,,5950.0,,0.188,,,1.14,1.17,16.006,15.6845,0.72138,0,1,1
BD-08 2823 c,c,BD-08 2823,Gaia DR2 3770419611540574080,150.1971964,-9.5165689,2009,Radial Velocity,237.6,1.5,-1.5,0.68,0.02,-0.02,,,,,,,104.0,10.0,-10.0,Msini,104.0,10.0,-10.0,4746.0,-0.07,,4.13,4.5,0.74,,9.86,9.50331,24.1641,0,0,1
HR 8799 c,c,HR 8799,Gaia DR2 2832463659640297472,346.8701486,21.1340376,2008,Imaging,69000.0,,,38.0,,,13.0,1.0,0.0,3000.0,1000.0,-1000.0,3000.0,1000.0,-1000.0,Mass,,,,,-0.47,0.692,,0.06,1.5,,5.98,5.90914,24.2175,0,0,0
HD 110014 b,b,HD 110014,Gaia DR2 3676091134604409728,189.8111935,-7.9956702,2009,Radial Velocity,835.477,6.04,-6.04,2.14,0.03,-0.03,,,,,,,3524.59,317.82,-317.82,Msini,3524.59,317.82,-317.82,4445.0,0.19,,2.1,0.95,2.17,20.9,4.64597,4.31048,9.90259,0,0,1
HIP 5158 b,b,HIP 5158,Gaia DR2 2351405057377686272,16.5094891,-22.4536134,2009,Radial Velocity,345.72,5.37,-5.37,0.89,,,,,,,,,451.0,,,Msini,451.0,,,4962.0,0.1,-0.959,4.37,6.0,0.78,,10.16,9.80235,19.35,0,0,1
HD 44219 b,b,HD 44219,Gaia DR2 3001428566419966592,95.0599971,-10.7250799,2010,Radial Velocity,472.3,6.3,-5.0,1.19,0.02,-0.02,,,,,,,184.33,19.07,-12.71,Msini,184.33,19.07,-12.71,5752.0,0.03,0.26,4.21,,1.0,1.32,7.69,7.52973,18.8732,0,0,1
HD 132563 b,b,HD 132563,Gaia DR2 1585765117538284800,224.5892892,44.0428571,2011,Radial Velocity,1544.0,34.0,-34.0,2.62,0.04,-0.04,,,,,,,473.547,28.6035,-28.6035,Msini,473.547,28.6035,-28.6035,6289.0,,0.374,4.3,,1.23,1.3,8.928001,8.85821,9.48093,0,0,1
Kepler-24 c,c,Kepler-24,Gaia DR2 2052823535171095296,290.4132621,38.3437283,2011,Transit,12.3335,,,0.106,,,2.8,,,508.5,,,508.5,,,Mass,,,,5800.0,-0.24,0.064,4.34,7.7,1.03,1.07,15.04,14.9234,0.836127,1,1,0
CHXR 73 b,b,CHXR 73,Gaia DR2 5201175987817179136,166.6193985,-77.6258725,2006,Imaging,,,,210.0,,,,,,3994.486,2662.991,-1664.369,3994.486,2662.991,-1664.369,Mass,,,,,,,,0.002,0.35,,,17.2934,5.23435,0,0,0
alf Ari b,b,alf Ari,,31.793286,23.462421,2010,Radial Velocity,380.8,0.3,-0.3,1.2,,,,,,,,,572.07,63.563,-63.563,Msini,572.07,63.563,-63.563,4553.0,,,,,1.5,13.9,2.00538,,49.48,0,0,1
Kepler-32 b,b,Kepler-32,Gaia DR2 2080287892525359872,297.8423073,46.5743595,2011,Transit,5.90124,0.0001,-0.0001,0.05,,,2.2,0.2,-0.2,1303.0,,,1303.0,,,Mass,,,,3900.0,0.0,,4.64,,0.58,0.53,16.36,15.8123,3.05948,1,1,0
Kepler-370 c,c,Kepler-370,Gaia DR2 2053578521704124160,292.1710683,40.9162381,2014,Transit,19.02293,0.000177,-0.000177,0.14,,,1.91,0.89,-0.89,,,,,,,,,,,5852.0,,,4.53,,,0.9,15.467,15.1595,0.828058,0,1,0
Kepler-400 b,b,Kepler-400,Gaia DR2 2101510008826160256,290.9444679,40.4800528,2014,Transit,9.024389,3.4e-05,-3.4e-05,0.087,,,1.65,0.3,-0.3,,,,,,,,,,,5886.0,,,4.35,,,1.15,13.762,13.8395,,0,1,0
Kepler-221 b,b,Kepler-221,Gaia DR2 2080344586094498432,296.6547477,46.8352242,2014,Transit,2.795906,4e-06,-4e-06,0.037,,,1.71,0.17,-0.17,,,,,,,,,,,5243.0,,,4.54,,,0.82,13.97,13.7486,2.56708,0,1,0
Kepler-367 c,c,Kepler-367,Gaia DR2 2087250476887856256,297.292558,49.9817499,2014,Transit,53.578637,0.000382,-0.000382,0.253,,,1.2,0.16,-0.16,,,,,,,,,,,4710.0,,,4.63,,,0.69,13.193,12.8482,5.2896,0,1,0
Kepler-393 c,c,Kepler-393,Gaia DR2 2127390970655877888,290.995205,45.192188,2014,Transit,14.613612,0.000231,-0.000231,0.124,,,1.33,0.31,-0.31,,,,,,,,,,,6189.0,,,4.23,,,1.38,13.258,13.1783,1.10585,0,1,0
Kepler-304 c,c,Kepler-304,Gaia DR2 2076565805151925760,294.4418031,40.5575408,2014,Transit,5.315946,7e-06,-7e-06,0.054,,,2.17,0.15,-0.15,,,,,,,,,,,4731.0,,,4.63,,,0.69,15.065,14.8308,2.2721,0,1,0
Kepler-360 b,b,Kepler-360,Gaia DR2 2106316012810255104,286.2847077,44.7815817,2014,Transit,3.289672,1.2e-05,-1.2e-05,0.044,,,1.65,0.78,-0.78,,,,,,,,,,,6053.0,,,4.42,,,1.06,15.011,14.8128,1.11282,0,1,0
Kepler-243 c,c,Kepler-243,Gaia DR2 2104090257679181696,285.1104819,42.0339619,2014,Transit,20.026218,0.000163,-0.000163,0.142,,,1.99,0.97,-0.97,,,,,,,,,,,5228.0,,,4.57,,,0.84,15.159,15.0573,1.41254,0,1,0
Kepler-261 c,c,Kepler-261,Gaia DR2 2052528625536778624,291.3647333,37.609239,2014,Transit,24.570858,6.9e-05,-6.9e-05,0.156,,,2.0,0.14,-0.14,,,,,,,,,,,5098.0,,,4.56,,,0.79,13.738,13.5287,3.12078,0,1,0
Kepler-327 d,d,Kepler-327,Gaia DR2 2126336710805475712,292.6422963,44.0876251,2014,Transit,13.969457,3.1e-05,-3.1e-05,0.09,,,1.73,0.1,-0.1,,,,,,,,,,,3799.0,,,4.76,,,0.49,15.611,14.9804,4.10372,0,1,0
Kepler-136 b,b,Kepler-136,Gaia DR2 2077203178296653056,296.4673039,42.5987984,2014,Transit,11.5789,3e-05,-3e-05,0.106,,,2.05,0.38,-0.38,,,,,,,,,,,6165.0,,,4.24,,,1.35,11.822,11.7544,2.34776,1,1,0
Kepler-122 d,d,Kepler-122,Gaia DR2 2053070616052194304,291.1118647,39.9490248,2014,Transit,21.587475,0.000164,-0.000164,0.155,,,2.2,0.44,-0.44,,,,,,,,,,,6050.0,,,4.3,,,1.22,14.403,14.2223,0.944664,0,1,0
Kepler-157 c,c,Kepler-157,Gaia DR2 2052941389074846336,291.0972257,38.8756049,2014,Transit,13.5405,4.9e-05,-4.9e-05,0.11,,,2.24,0.43,-0.43,,,,,,,,,,,5774.0,,,4.39,,,1.04,14.206,14.0374,1.2638,0,1,0
Kepler-147 c,c,Kepler-147,Gaia DR2 2099686125195464576,287.9757213,39.087168,2014,Transit,33.416423,0.000416,-0.000416,0.216,,,2.43,0.49,-0.49,,,,,,,,,,,6012.0,,,4.18,,,1.47,14.134,13.9151,0.931192,0,1,0
Kepler-239 b,b,Kepler-239,Gaia DR2 2077298148611950976,294.2020505,40.6633313,2014,Transit,11.763051,3.4e-05,-3.4e-05,0.095,,,2.33,0.15,-0.15,,,,,,,,,,,4914.0,,,4.58,,,0.76,15.252,15.2333,1.51499,0,1,0
Kepler-200 b,b,Kepler-200,Gaia DR2 2103671481186902912,284.4099503,41.2374928,2014,Transit,8.594805,3.6e-05,-3.6e-05,0.08,,,2.13,0.41,-0.41,,,,,,,,,,,5678.0,,,4.45,,,0.94,13.932,13.9518,1.47291,0,1,0
Kepler-243 b,b,Kepler-243,Gaia DR2 2104090257679181696,285.1104819,42.0339619,2014,Transit,5.715442,1.1e-05,-1.1e-05,0.062,,,2.45,1.16,-1.16,,,,,,,,,,,5228.0,,,4.57,,,0.84,15.159,15.0573,1.41254,0,1,0
Kepler-254 b,b,Kepler-254,Gaia DR2 2130250731680096384,288.1646541,45.8164257,2014,Transit,5.826662,1e-05,-1e-05,0.064,,,3.87,1.85,-1.85,,,,,,,,,,,5957.0,,,4.52,,,0.91,16.012,15.8379,0.691346,0,1,0
Kepler-172 c,c,Kepler-172,Gaia DR2 2104506319750394624,283.3684093,41.821839,2014,Transit,6.388996,2e-05,-2e-05,0.068,,,2.86,0.53,-0.53,,,,,,,,,,,5526.0,,,4.38,,,1.08,14.703,14.5369,1.17846,0,1,0
Kepler-299 c,c,Kepler-299,Gaia DR2 2131737340118958336,283.2070156,48.5805222,2014,Transit,6.885875,4e-05,-4e-05,0.07,,,2.65,0.63,-0.63,,,,,,,,,,,5617.0,,,4.39,,,1.03,15.232,15.0103,0.921755,0,1,0
Kepler-278 c,c,Kepler-278,Gaia DR2 2052881912366613376,290.1072124,38.7022694,2014,Transit,51.078775,0.00089,-0.00089,0.294,,,3.59,0.43,-0.43,,,,,,,,,,,4991.0,,,3.62,,,2.94,11.811,11.5296,2.2289,1,1,0
Kepler-339 d,d,Kepler-339,Gaia DR2 2128911251641171200,293.351701,48.4445922,2014,Transit,10.558345,8.1e-05,-8.1e-05,0.091,,,1.17,0.53,-0.53,,,,,,,,,,,5631.0,,,4.59,,,0.8,14.706,14.5134,1.5932,0,1,0
Kepler-397 b,b,Kepler-397,,295.8940373,42.3805156,2014,Transit,22.250949,0.000186,-0.000186,0.144,,,2.46,21.32,-21.32,,,,,,,,,,,5307.0,,,4.57,,,0.77,16.357,,,0,1,0
Kepler-399 b,b,Kepler-399,Gaia DR2 2075060264503601280,299.5017242,40.6707669,2014,Transit,14.425281,0.000144,-0.000144,0.103,,,0.96,0.51,-0.51,,,,,,,,,,,5502.0,,,4.62,,,0.68,14.686,14.5277,,0,1,0
HD 219415 b,b,HD 219415,Gaia DR2 2009255593080688640,348.7243579,56.7303001,2012,Radial Velocity,2093.3,32.7,-32.7,3.2,,,,,,,,,317.83,,,Msini,317.83,,,4820.0,-0.04,0.62,3.51,,1.0,2.9,8.909,8.59745,6.02516,0,0,1
eps Tau b,b,eps Tau,Gaia DR2 48026706557926528,67.1546573,19.1802782,2006,Radial Velocity,594.9,5.3,-5.3,1.93,0.03,-0.03,,,,,,,2415.406,63.563,-63.563,Msini,2415.406,63.563,-63.563,4901.0,,1.987,,,2.7,13.7,3.523,3.27298,21.04,0,0,1
HD 207832 c,c,HD 207832,Gaia DR2 6812056381881853056,328.1517893,-26.0271749,2012,Radial Velocity,1155.7,71.9,-37.0,2.112,0.087,-0.045,,,,,,,232.0159,57.2094,-15.8915,Msini,232.0159,57.2094,-15.8915,5710.0,,-0.112,,,0.94,0.9,8.78,8.61176,16.9408,0,0,1
WASP-176 b,b,WASP-176,Gaia DR2 1750321012752775040,313.6872928,9.1790688,2020,Transit,3.899052,5e-06,-5e-06,0.0535,0.001,-0.0019,16.87,0.56,-0.504,271.74465,22.88376,-21.93027,271.74465,22.88376,-21.93027,Mass,,,,5941.0,0.164,,4.0,4.81,1.34,1.93,12.006,11.9392,1.73126,0,1,1
WASP-78 b,b,WASP-78,Gaia DR2 5089851638095503616,63.7562662,-22.1163901,2012,Transit,2.17518,5e-06,-5e-06,,,,21.633,5.044,-5.044,352.7913,171.6282,-171.6282,352.7913,171.6282,-171.6282,Mass,,,,6100.0,-0.35,,4.1,,1.87,2.46,11.965,12.1879,1.29679,0,1,1
HAT-P-25 b,b,HAT-P-25,Gaia DR2 111322601672419712,48.4354731,25.1973548,2010,Transit,3.65281514,7.6e-07,-7.5e-07,0.0466,0.00081,-0.0008,12.722,0.538,-0.538,180.84527,7.31009,-6.99226,180.84527,7.31009,-6.99226,Mass,180.84527,7.31009,-6.99226,5519.0,0.294,-0.152,4.52,,1.01,0.92,13.146,12.8416,3.30091,0,1,1
K2-148 b,b,K2-148,Gaia DR2 2536443724641751808,14.5176494,-0.193258,2018,Transit,4.38395,0.0008,-0.0008,0.0454,0.0014,-0.0014,1.33,0.19,-0.18,,,,,,,,,,,4079.0,-0.11,-0.996,4.65,,0.65,0.63,13.627,13.0599,8.00615,0,1,0
WASP-82 b,b,WASP-82,Gaia DR2 3231856379348299008,72.6605916,1.8938365,2015,Transit,2.70579,2e-06,-2e-06,,,,18.159,1.457,-1.457,371.8611,63.566,-63.566,371.8611,63.566,-63.566,Mass,,,,6480.0,0.12,,3.96,,1.48,2.1,10.073,9.89796,3.59924,0,1,1
K2-148 c,c,K2-148,Gaia DR2 2536443724641751808,14.5176494,-0.193258,2018,Transit,6.9226,0.0007,-0.0007,0.0616,0.0019,-0.0019,1.73,0.24,-0.21,,,,,,,,,,,4079.0,-0.11,-0.996,4.65,,0.65,0.63,13.627,13.0599,8.00615,0,1,0
