pl_rade,Teq,st_teff,pl_orbsmax,st_met
2.2,662.0,3900.0,0.05,0.0
16.87,1744.0,5941.0,0.0535,0.164
21.633,5466.0,6100.0,0.0073369796467942965,-0.35
12.722,1060.0,5519.0,0.0466,0.294
1.33,756.0,4079.0,0.0454,-0.11
18.159,4688.0,6480.0,0.008442211663004715,0.12
1.73,649.0,4079.0,0.0616,-0.11
11.545,1392.0,5165.0,0.0269,0.22
13.115,1018.0,6295.0,0.1038,0.0
16.814,630.0,4250.0,0.07098,0.2
3.03,790.0,5298.0,0.08911,-0.217
1.85,557.0,3709.0,0.0652,-0.2
2.02,449.0,3709.0,0.1,-0.2
11.209,2685.0,5700.0,0.011661357429548868,-0.02
15.581,3115.0,6091.0,0.010339624334992881,0.01
12.778,2536.0,5750.0,0.010341113493962096,0.02
13.585,1276.0,5680.0,0.0434,0.12
14.796,2988.0,6230.0,0.012506808083118272,0.04
2.93,594.0,4285.0,0.1035,-0.12
2.79,744.0,4511.0,0.0604,0.0
2.701,379.0,4622.0,0.2447,-0.02
12.285,1908.0,6007.0,0.03783,-0.041
9.864,3394.0,5900.0,0.012490036867645687,-0.04
19.055,1830.0,6387.0,0.0352,0.276
15.805,3116.0,5550.0,0.013014533142542766,0.08
4.72,1982.0,5443.0,0.01679,0.27
0.718,1545.0,3522.0,0.0071,-0.01
14.908,4938.0,6900.0,0.00715026587285107,-0.03
1.992,1074.0,5585.0,0.0618,-0.04
15.098,3032.0,6540.0,0.01791,0.068
1.362,1306.0,6169.0,0.05727,-0.08
2.328,980.0,6169.0,0.1017,-0.08
2.607,575.0,6169.0,0.2958,-0.08
2.049,665.0,4622.0,0.07928,-0.02
8.295,679.0,3870.0,0.043,0.4
8.631,1783.0,6047.0,0.023669660861356974,-0.069
7.062,2016.0,5079.0,0.012039776917118999,-0.04
12.442,2081.0,4700.0,0.010519274466809959,0.15
15.468,1721.0,6260.0,0.0661,-0.18
11.657,1085.0,5510.0,0.059,0.29
14.493,1139.0,5449.0,0.05069,0.27
17.901,1977.0,6700.0,0.04211,0.07
18.786,1994.0,7394.0,0.06555,-0.069
2.7,1384.0,5611.0,0.04271,0.439
8.14,966.0,5611.0,0.0878,0.439
2.078,535.0,3844.0,0.0747,-0.157
1.582,397.0,3844.0,0.1357,-0.157
1.458,326.0,3844.0,0.2014,-0.157
3.186,1298.0,5626.0,0.041657,0.08
3.14,395.0,4065.0,0.1177,0.05
8.449,192.0,4450.0,0.7048,-0.3
16.107,1509.0,6399.0,0.05503,0.06
13.978,1898.0,5814.0,0.01932,0.196
18.383,1592.0,6050.0,0.0478,0.0
17.71,2513.0,7000.0,0.0365,0.1
9.976,866.0,5625.0,0.1012,0.26
11.994,1457.0,6218.0,0.0694,0.156
2.05,1452.0,5732.0,0.035,0.14
11.299,636.0,6394.0,0.3,0.24
1.61,427.0,4699.0,0.237,0.11
13.88,2703.0,5849.0,0.010660551939278711,0.04
14.41,2986.0,5958.0,0.009082064369741686,0.04
2.39,519.0,4511.0,0.1242,0.0
4.57,699.0,3600.0,0.0355,0.2
7.062,1303.0,6050.0,0.0641,0.19
16.814,5218.0,5920.0,0.005624090421501794,-0.12
14.96,3162.0,6733.0,0.01567984072909128,0.07
10.749,976.0,4650.0,0.0384,-0.29
9.752,632.0,6341.0,0.337,0.12
1.39,1019.0,3800.0,0.02091,0.04
8.097,758.0,4656.1,0.066517,0.099
1.305,812.0,3340.0,0.01734,0.07
2.742,556.0,3250.0,0.0149,0.29
0.85,719.0,3415.0,0.02191,-0.46
15.861,2058.0,5616.0,0.01652,0.04
2.518,838.0,5200.0,0.0682,-0.09
3.497,662.0,5200.0,0.1093,-0.09
3.232,558.0,5200.0,0.1539,-0.09
3.41,898.0,5348.0,0.0804,-0.15
3.195,609.0,5348.0,0.1752,-0.15
2.995,552.0,5348.0,0.2132,-0.15
2.58,1435.0,6211.0,0.068,0.17
15.648,1705.0,6274.0,0.0626,0.119
18.046,3881.0,6200.0,0.009982993983463112,0.14
19.661,1533.0,5947.0,0.0553,0.07
2.82,1040.0,3400.0,0.0164,0.0
13.18,2903.0,5709.0,0.007685352862750862,0.07
1.84,881.0,3713.0,0.021749026102301696,-0.16
8.474,931.0,5555.0,0.08215,0.099
10.962,1085.0,5170.0,0.0464,0.24
17.71,1103.0,5017.0,0.03957,0.25
13.249,1361.0,5808.0,0.04604,-0.03
16.029,2647.0,5800.0,0.014005648248395203,-0.45
1.258,2106.0,4757.0,0.00812,-0.029
15.861,2640.0,6236.0,0.02044,-0.002
15.984,1607.0,6297.0,0.0538,0.04
10.761,1255.0,5520.0,0.04501,0.2
12.666,2753.0,5230.0,0.008405018726981706,0.02
2.68,1021.0,5325.0,0.056,-0.02
2.474,321.0,4622.0,0.3405,-0.02
1.42,2000.0,6211.0,0.035,0.17
10.76,880.0,3820.0,0.03,0.28
14.572,1440.0,5675.0,0.0243,0.02
11.882,944.0,5597.0,0.0903,0.078
0.802,2343.0,5818.0,0.021450149487303168,0.23
16.589,3467.0,6570.0,0.012808236627150202,-0.13
9.98,1250.0,5460.0,0.044,0.44
16.948,3291.0,7650.0,0.03641,0.2
13.081,1490.0,5950.0,0.0456,0.262
15.244,3404.0,5850.0,0.007494262899447275,-0.15
12.68,3225.0,5944.0,0.010525639186723989,0.02
